observation_id,source_portal,source_url,source_listing_id,source_stable_url,captured_at,source_reference_date,source_reference_date_precision,evidence_type,property_type,state,city,city_ibge_code,postal_code,neighborhood,street,number,private_area_m2,built_area_m2,land_area_m2,bedrooms,bathrooms,parking_spaces,age_years,floor_number,has_elevator,asking_price_brl,transaction_price_brl,usable_market_value_brl,market_value_basis,market_adjustment_reference,rt_review_reference,latitude,longitude,location_accuracy_meters,geocoding_method,geocoding_evidence_reference,geocoding_verified_by,evidence_reference,evidence_sha256,notes
WEB-SP-001,IMOVELWEB,https://www.imovelweb.com.br/propriedades/apartamento-com-2-dormitorios-a-venda-70-m-por-r%24-2999882760.html,2999882760,true,2026-07-31T10:00:00-03:00,2026-05-24,EXACT,OFFER,APARTMENT,SP,São Paulo,3550308,,Luz,Avenida Santos Dumont,157,70,,,2,1,0,51,,true,339000,,,ASKING_PRICE_ONLY,,,,,,,,,,,Número divulgado; coordenada e precisão ainda não confirmadas.
WEB-SP-002,IMOVELWEB,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-bom-retiro-2-quartos-70-m2-3031140704.html,3031140704,true,2026-07-31T10:02:00-03:00,2026-02-28,EXACT,OFFER,APARTMENT,SP,São Paulo,3550308,,Bom Retiro,Avenida Santos Dumont,157,70,,,2,1,0,,,,424000,,,ASKING_PRICE_ONLY,,,,,,,,,,,Possível duplicidade de WEB-SP-001; divergência de preço e bairro deve ser investigada.
WEB-SP-003,IMOVELWEB,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-bom-retiro-2-quartos-70-m2-3019500132.html,3019500132,true,2026-07-31T10:04:00-03:00,2026-06-13,EXACT,OFFER,APARTMENT,SP,São Paulo,3550308,,Bom Retiro,Avenida Rudge,905,70,,,2,1,1,43,,,422875,,,ASKING_PRICE_ONLY,,,,,,,,,,,Número divulgado; falta CEP e confirmação geográfica de até 50 m.
WEB-SP-004,IMOVELWEB,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-ipiranga-2-quartos-70-m2-3029818033.html,3029818033,true,2026-07-31T10:06:00-03:00,2026-03-05,EXACT,OFFER,APARTMENT,SP,São Paulo,3550308,,Ipiranga,HIDDEN,,70,,,2,1,1,,,,460000,,,ASKING_PRICE_ONLY,,,,,,,,,,,O portal informa que o endereço foi ocultado pelo anunciante.
WEB-SP-005,IMOVELWEB,https://www.imovelweb.com.br/propriedades/apartamento-com-2-dormitorios-a-venda-70-m-por-r%24-3031847786.html,3031847786,true,2026-07-31T10:08:00-03:00,2026-07-24,EXACT,OFFER,APARTMENT,SP,São Paulo,3550308,,Tucuruvi,Rua Alcindo Bueno de Assis,,70,,,2,1,1,16,,,330000,,,ASKING_PRICE_ONLY,,,,,,,,,,,Logradouro divulgado sem número.
WEB-SP-006,CHAVES_NA_MAO,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-freguesia-do-o-70m2-RS350000/id-26474677/,26474677,true,2026-07-31T10:10:00-03:00,2026-03-08,EXACT,OFFER,APARTMENT,SP,São Paulo,3550308,,Freguesia do Ó,Avenida Itaberaba,,70,,,2,1,0,,,,350000,,,ASKING_PRICE_ONLY,,,,,,,,,,,Logradouro divulgado sem número.
WEB-SP-007,CHAVES_NA_MAO,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-sp-sao-paulo-bela-vista-70m2-RS700000/id-20128445/,20128445,true,2026-07-31T10:12:00-03:00,2026-03-12,EXACT,OFFER,APARTMENT,SP,São Paulo,3550308,,Bela Vista,Rua Avanhandava,319,70,,,2,2,0,,,true,700000,,,ASKING_PRICE_ONLY,,,,,,,,,,,Número divulgado; falta CEP e confirmação geográfica de até 50 m.
WEB-SP-008,QUINTOANDAR,https://www.quintoandar.com.br/imovel/895293222/comprar/apartamento-2-quartos-liberdade-sao-paulo,2593222,true,2026-07-31T10:14:00-03:00,2026-06-30,APPROXIMATE,OFFER,APARTMENT,SP,São Paulo,3550308,,Liberdade,Rua Tamandaré,,70,,,2,1,2,,18,,690000,,,ASKING_PRICE_ONLY,,,,,,,,,,,Data aproximada a partir de publicado há 1 mês; endereço sem número.
WEB-SP-009,LELLO,https://www.lelloimoveis.com.br/imovel/188949/apartamento-2-dorms-saude-sao_paulo-venda/,188949,true,2026-07-31T10:16:00-03:00,,UNKNOWN,OFFER,APARTMENT,SP,São Paulo,3550308,,Saúde,Rua Abagiba,,70,,,2,,,,,,685000,,,ASKING_PRICE_ONLY,,,,,,,,,,,Página não apresentou número nem data exata na captura pesquisada.
WEB-SP-010,LOPES,https://www.lopes.com.br/imovel/REO804468/venda-apartamento-2-quartos-sao-paulo-bras,REO804468,true,2026-07-31T10:18:00-03:00,,UNKNOWN,OFFER,APARTMENT,SP,São Paulo,3550308,,Brás,Rua Domingos Paiva,,70,70,,2,2,1,,4,,707000,,,ASKING_PRICE_ONLY,,,,,,,,,,,Página individual sem número e sem data de referência exata disponível.
